product_code,line_class,build_cycle_sec,source
115121102C016LJDH0,TBR,200.2,GTCT TBR PCR 1.xlsx
115221102C014LJTS0,TBR,200.2,GTCT TBR PCR 1.xlsx
115221102C014LNPC0,TBR,194.7,GTCT TBR PCR 1.xlsx
115221102C016LJTS0,TBR,200.2,GTCT TBR PCR 1.xlsx
115121102C016LDL1V,TBR,200.2,GTCT TBR PCR 1.xlsx
115221102C016LTLSV,TBR,200.2,GTCT TBR PCR 1.xlsx
115221102C016LUH1V,TBR,200.2,GTCT TBR PCR 1.xlsx
115121102C016LCDHC,TBR,200.2,GTCT TBR PCR 1.xlsx
115221102C016LL2P0,TBR,200.2,GTCT TBR PCR 1.xlsx
115121102C016LH5P0,TBR,200.2,GTCT TBR PCR 1.xlsx
115121102C016L301P,TBR,200.2,GTCT TBR PCR 1.xlsx
115221102C016L301P,TBR,200.2,GTCT TBR PCR 1.xlsx
112321102C016LJUC0,TBR,200.2,GTCT TBR PCR 1.xlsx
115221102C016LTH10,TBR,200.2,GTCT TBR PCR 1.xlsx
112121102C016LJDH0,TBR,200.2,GTCT TBR PCR 1.xlsx
112221102C016LJUH0,TBR,200.2,GTCT TBR PCR 1.xlsx
112121102C016LH5P0,TBR,200.2,GTCT TBR PCR 1.xlsx
112221102C016LUH50,TBR,200.2,GTCT TBR PCR 1.xlsx
115321102C016LUC2C,TBR,200.2,GTCT TBR PCR 1.xlsx
115221102C016LUH50,TBR,200.2,GTCT TBR PCR 1.xlsx
115121102C016LJDC0,TBR,200.2,GTCT TBR PCR 1.xlsx
115222562C016MTH10,TBR,193.6,GTCT TBR PCR 1.xlsx
115222562C016MTL1V,TBR,194.7,GTCT TBR PCR 1.xlsx
112222562C016MUXE0,TBR,194.7,GTCT TBR PCR 1.xlsx
115222762C016LTH10,TBR,194.7,GTCT TBR PCR 1.xlsx
112222762C016JUXE0,TBR,194.7,GTCT TBR PCR 1.xlsx
115222972C014LJTS0,TBR,202.4,GTCT TBR PCR 1.xlsx
115222972C016L301P,TBR,202.4,GTCT TBR PCR 1.xlsx
115222972C014MUH1V,TBR,202.4,GTCT TBR PCR 1.xlsx
115122972C014MDL1V,TBR,202.4,GTCT TBR PCR 1.xlsx
115222972C014MTLSV,TBR,202.4,GTCT TBR PCR 1.xlsx
115222972C016LUL30,TBR,202.4,GTCT TBR PCR 1.xlsx
115122972C016L301P,TBR,202.4,GTCT TBR PCR 1.xlsx
112122982C016MJDL0,TBR,202.4,GTCT TBR PCR 1.xlsx
112222982C016MJM1E,TBR,202.4,GTCT TBR PCR 1.xlsx
112222982C016MJL10,TBR,202.4,GTCT TBR PCR 1.xlsx
112322982C016MUCM0,TBR,202.4,GTCT TBR PCR 1.xlsx
112222982C016JUXE0,TBR,202.4,GTCT TBR PCR 1.xlsx
115122982C016KDC30,TBR,202.4,GTCT TBR PCR 1.xlsx
112222982C016MUXM0,TBR,202.4,GTCT TBR PCR 1.xlsx
112122982C016MJXM0,TBR,202.4,GTCT TBR PCR 1.xlsx
112222982C016MJXM0,TBR,202.4,GTCT TBR PCR 1.xlsx
115122982C018KCXD0,TBR,202.4,GTCT TBR PCR 1.xlsx
112222982C016MJUM0,TBR,202.4,GTCT TBR PCR 1.xlsx
115223182C018MUL30,TBR,209.0,GTCT TBR PCR 1.xlsx
115323182C018LUC40,TBR,209.0,GTCT TBR PCR 1.xlsx
115123182C018LDL30,TBR,209.0,GTCT TBR PCR 1.xlsx
115223182C018LUL40,TBR,209.0,GTCT TBR PCR 1.xlsx
115123182C018LL3P0,TBR,209.0,GTCT TBR PCR 1.xlsx
115123182C020KCXD0,TBR,209.0,GTCT TBR PCR 1.xlsx
115123162C018LDL30,TBR,209.0,GTCT TBR PCR 1.xlsx
115223162C018LUL40,TBR,209.0,GTCT TBR PCR 1.xlsx
115123162C018LL3P0,TBR,209.0,GTCT TBR PCR 1.xlsx
115223832C020KJTL0,TBR,214.5,GTCT TBR PCR 1.xlsx
115223852C020KUH60,TBR,214.5,GTCT TBR PCR 1.xlsx
115223852C020KJTL0,TBR,214.5,GTCT TBR PCR 1.xlsx
115323852C020KUCD0,TBR,214.5,GTCT TBR PCR 1.xlsx
